model_slug,pair,left,right,K,jaccard,overlap_coefficient,overlap_count,union_size,left_size,right_size,random_expected_jaccard,left_path,right_path,left_note,right_note,left_source_file,right_source_file
Qwen__Qwen2.5-7B-Instruct,SEC-NQ,SEC,NQ,8,0.2308,0.375,3,13,8,8,0.0051,/Users/ananyaanand/Downloads/qr_scoring/results/detection/Qwen__Qwen2.5-7B-Instruct/long_context_combined_heads.json,/Users/ananyaanand/Downloads/qr_scoring/results/detection/Qwen__Qwen2.5-7B-Instruct/nq_train_heads.json,,,,
Qwen__Qwen2.5-7B-Instruct,SEC-NQ,SEC,NQ,16,0.3333,0.5,8,24,16,16,0.0103,/Users/ananyaanand/Downloads/qr_scoring/results/detection/Qwen__Qwen2.5-7B-Instruct/long_context_combined_heads.json,/Users/ananyaanand/Downloads/qr_scoring/results/detection/Qwen__Qwen2.5-7B-Instruct/nq_train_heads.json,,,,
Qwen__Qwen2.5-7B-Instruct,SEC-NQ,SEC,NQ,32,0.3061,0.4688,15,49,32,32,0.0208,/Users/ananyaanand/Downloads/qr_scoring/results/detection/Qwen__Qwen2.5-7B-Instruct/long_context_combined_heads.json,/Users/ananyaanand/Downloads/qr_scoring/results/detection/Qwen__Qwen2.5-7B-Instruct/nq_train_heads.json,,,,
Qwen__Qwen2.5-7B-Instruct,SEC-NQ,SEC,NQ,48,0.3333,0.5,24,72,48,48,0.0316,/Users/ananyaanand/Downloads/qr_scoring/results/detection/Qwen__Qwen2.5-7B-Instruct/long_context_combined_heads.json,/Users/ananyaanand/Downloads/qr_scoring/results/detection/Qwen__Qwen2.5-7B-Instruct/nq_train_heads.json,,,,
Qwen__Qwen2.5-7B-Instruct,SEC-NQ,SEC,NQ,64,0.3333,0.5,32,96,64,64,0.0426,/Users/ananyaanand/Downloads/qr_scoring/results/detection/Qwen__Qwen2.5-7B-Instruct/long_context_combined_heads.json,/Users/ananyaanand/Downloads/qr_scoring/results/detection/Qwen__Qwen2.5-7B-Instruct/nq_train_heads.json,,,,
Qwen__Qwen2.5-7B-Instruct,SEC-NQ,SEC,NQ,96,0.4436,0.6146,59,133,96,96,0.0652,/Users/ananyaanand/Downloads/qr_scoring/results/detection/Qwen__Qwen2.5-7B-Instruct/long_context_combined_heads.json,/Users/ananyaanand/Downloads/qr_scoring/results/detection/Qwen__Qwen2.5-7B-Instruct/nq_train_heads.json,,,,
Qwen__Qwen2.5-7B-Instruct,SEC-NQ,SEC,NQ,128,0.4884,0.6562,84,172,128,128,0.0889,/Users/ananyaanand/Downloads/qr_scoring/results/detection/Qwen__Qwen2.5-7B-Instruct/long_context_combined_heads.json,/Users/ananyaanand/Downloads/qr_scoring/results/detection/Qwen__Qwen2.5-7B-Instruct/nq_train_heads.json,,,,
meta-llama__Llama-3.1-8B-Instruct,SEC-LME,SEC,LME,8,0.3333,0.5,4,12,8,8,0.0039,/Users/ananyaanand/Downloads/qr_scoring/results/detection/meta-llama__Llama-3.1-8B-Instruct/long_context_combined_heads.json,/Users/ananyaanand/Downloads/qr_scoring/results/detection/meta-llama__Llama-3.1-8B-Instruct/lme_train_heads.json,,,,
meta-llama__Llama-3.1-8B-Instruct,SEC-LME,SEC,LME,16,0.4545,0.625,10,22,16,16,0.0079,/Users/ananyaanand/Downloads/qr_scoring/results/detection/meta-llama__Llama-3.1-8B-Instruct/long_context_combined_heads.json,/Users/ananyaanand/Downloads/qr_scoring/results/detection/meta-llama__Llama-3.1-8B-Instruct/lme_train_heads.json,,,,
meta-llama__Llama-3.1-8B-Instruct,SEC-LME,SEC,LME,32,0.561,0.7188,23,41,32,32,0.0159,/Users/ananyaanand/Downloads/qr_scoring/results/detection/meta-llama__Llama-3.1-8B-Instruct/long_context_combined_heads.json,/Users/ananyaanand/Downloads/qr_scoring/results/detection/meta-llama__Llama-3.1-8B-Instruct/lme_train_heads.json,,,,
meta-llama__Llama-3.1-8B-Instruct,SEC-LME,SEC,LME,48,0.5738,0.7292,35,61,48,48,0.024,/Users/ananyaanand/Downloads/qr_scoring/results/detection/meta-llama__Llama-3.1-8B-Instruct/long_context_combined_heads.json,/Users/ananyaanand/Downloads/qr_scoring/results/detection/meta-llama__Llama-3.1-8B-Instruct/lme_train_heads.json,,,,
meta-llama__Llama-3.1-8B-Instruct,SEC-LME,SEC,LME,64,0.5802,0.7344,47,81,64,64,0.0323,/Users/ananyaanand/Downloads/qr_scoring/results/detection/meta-llama__Llama-3.1-8B-Instruct/long_context_combined_heads.json,/Users/ananyaanand/Downloads/qr_scoring/results/detection/meta-llama__Llama-3.1-8B-Instruct/lme_train_heads.json,,,,
meta-llama__Llama-3.1-8B-Instruct,SEC-LME,SEC,LME,96,0.6,0.75,72,120,96,96,0.0492,/Users/ananyaanand/Downloads/qr_scoring/results/detection/meta-llama__Llama-3.1-8B-Instruct/long_context_combined_heads.json,/Users/ananyaanand/Downloads/qr_scoring/results/detection/meta-llama__Llama-3.1-8B-Instruct/lme_train_heads.json,,,,
meta-llama__Llama-3.1-8B-Instruct,SEC-LME,SEC,LME,128,0.6306,0.7734,99,157,128,128,0.0667,/Users/ananyaanand/Downloads/qr_scoring/results/detection/meta-llama__Llama-3.1-8B-Instruct/long_context_combined_heads.json,/Users/ananyaanand/Downloads/qr_scoring/results/detection/meta-llama__Llama-3.1-8B-Instruct/lme_train_heads.json,,,,
meta-llama__Llama-3.1-8B-Instruct,SEC-NQ,SEC,NQ,8,0.1429,0.25,2,14,8,8,0.0039,/Users/ananyaanand/Downloads/qr_scoring/results/detection/meta-llama__Llama-3.1-8B-Instruct/long_context_combined_heads.json,/Users/ananyaanand/Downloads/qr_scoring/results/detection/meta-llama__Llama-3.1-8B-Instruct/nq_train_heads.json,,,,
meta-llama__Llama-3.1-8B-Instruct,SEC-NQ,SEC,NQ,16,0.1429,0.25,4,28,16,16,0.0079,/Users/ananyaanand/Downloads/qr_scoring/results/detection/meta-llama__Llama-3.1-8B-Instruct/long_context_combined_heads.json,/Users/ananyaanand/Downloads/qr_scoring/results/detection/meta-llama__Llama-3.1-8B-Instruct/nq_train_heads.json,,,,
meta-llama__Llama-3.1-8B-Instruct,SEC-NQ,SEC,NQ,32,0.3913,0.5625,18,46,32,32,0.0159,/Users/ananyaanand/Downloads/qr_scoring/results/detection/meta-llama__Llama-3.1-8B-Instruct/long_context_combined_heads.json,/Users/ananyaanand/Downloads/qr_scoring/results/detection/meta-llama__Llama-3.1-8B-Instruct/nq_train_heads.json,,,,
meta-llama__Llama-3.1-8B-Instruct,SEC-NQ,SEC,NQ,48,0.3913,0.5625,27,69,48,48,0.024,/Users/ananyaanand/Downloads/qr_scoring/results/detection/meta-llama__Llama-3.1-8B-Instruct/long_context_combined_heads.json,/Users/ananyaanand/Downloads/qr_scoring/results/detection/meta-llama__Llama-3.1-8B-Instruct/nq_train_heads.json,,,,
meta-llama__Llama-3.1-8B-Instruct,SEC-NQ,SEC,NQ,64,0.561,0.7188,46,82,64,64,0.0323,/Users/ananyaanand/Downloads/qr_scoring/results/detection/meta-llama__Llama-3.1-8B-Instruct/long_context_combined_heads.json,/Users/ananyaanand/Downloads/qr_scoring/results/detection/meta-llama__Llama-3.1-8B-Instruct/nq_train_heads.json,,,,
meta-llama__Llama-3.1-8B-Instruct,SEC-NQ,SEC,NQ,96,0.5738,0.7292,70,122,96,96,0.0492,/Users/ananyaanand/Downloads/qr_scoring/results/detection/meta-llama__Llama-3.1-8B-Instruct/long_context_combined_heads.json,/Users/ananyaanand/Downloads/qr_scoring/results/detection/meta-llama__Llama-3.1-8B-Instruct/nq_train_heads.json,,,,
meta-llama__Llama-3.1-8B-Instruct,SEC-NQ,SEC,NQ,128,0.6,0.75,96,160,128,128,0.0667,/Users/ananyaanand/Downloads/qr_scoring/results/detection/meta-llama__Llama-3.1-8B-Instruct/long_context_combined_heads.json,/Users/ananyaanand/Downloads/qr_scoring/results/detection/meta-llama__Llama-3.1-8B-Instruct/nq_train_heads.json,,,,
meta-llama__Llama-3.1-8B-Instruct,LME-NQ,LME,NQ,8,0.0667,0.125,1,15,8,8,0.0039,/Users/ananyaanand/Downloads/qr_scoring/results/detection/meta-llama__Llama-3.1-8B-Instruct/lme_train_heads.json,/Users/ananyaanand/Downloads/qr_scoring/results/detection/meta-llama__Llama-3.1-8B-Instruct/nq_train_heads.json,,,,
meta-llama__Llama-3.1-8B-Instruct,LME-NQ,LME,NQ,16,0.1429,0.25,4,28,16,16,0.0079,/Users/ananyaanand/Downloads/qr_scoring/results/detection/meta-llama__Llama-3.1-8B-Instruct/lme_train_heads.json,/Users/ananyaanand/Downloads/qr_scoring/results/detection/meta-llama__Llama-3.1-8B-Instruct/nq_train_heads.json,,,,
meta-llama__Llama-3.1-8B-Instruct,LME-NQ,LME,NQ,32,0.3617,0.5312,17,47,32,32,0.0159,/Users/ananyaanand/Downloads/qr_scoring/results/detection/meta-llama__Llama-3.1-8B-Instruct/lme_train_heads.json,/Users/ananyaanand/Downloads/qr_scoring/results/detection/meta-llama__Llama-3.1-8B-Instruct/nq_train_heads.json,,,,
meta-llama__Llama-3.1-8B-Instruct,LME-NQ,LME,NQ,48,0.5,0.6667,32,64,48,48,0.024,/Users/ananyaanand/Downloads/qr_scoring/results/detection/meta-llama__Llama-3.1-8B-Instruct/lme_train_heads.json,/Users/ananyaanand/Downloads/qr_scoring/results/detection/meta-llama__Llama-3.1-8B-Instruct/nq_train_heads.json,,,,
meta-llama__Llama-3.1-8B-Instruct,LME-NQ,LME,NQ,64,0.561,0.7188,46,82,64,64,0.0323,/Users/ananyaanand/Downloads/qr_scoring/results/detection/meta-llama__Llama-3.1-8B-Instruct/lme_train_heads.json,/Users/ananyaanand/Downloads/qr_scoring/results/detection/meta-llama__Llama-3.1-8B-Instruct/nq_train_heads.json,,,,
meta-llama__Llama-3.1-8B-Instruct,LME-NQ,LME,NQ,96,0.5238,0.6875,66,126,96,96,0.0492,/Users/ananyaanand/Downloads/qr_scoring/results/detection/meta-llama__Llama-3.1-8B-Instruct/lme_train_heads.json,/Users/ananyaanand/Downloads/qr_scoring/results/detection/meta-llama__Llama-3.1-8B-Instruct/nq_train_heads.json,,,,
meta-llama__Llama-3.1-8B-Instruct,LME-NQ,LME,NQ,128,0.561,0.7188,92,164,128,128,0.0667,/Users/ananyaanand/Downloads/qr_scoring/results/detection/meta-llama__Llama-3.1-8B-Instruct/lme_train_heads.json,/Users/ananyaanand/Downloads/qr_scoring/results/detection/meta-llama__Llama-3.1-8B-Instruct/nq_train_heads.json,,,,
